Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method
C20001,24,Female,Irbid,Platinum,84,2074.52,264.83,37,500.0,4,21,0.183,0.914,4,0,0,0,Card
C20002,44,Male,Amman,Gold,12,2647.38,222.34,8,356.05,70,21,0.371,0.576,4,0,0,0,Bank Transfer
C20003,39,Female,Zarqa,Gold,12,1296.71,215.81,11,264.25,9,23,0.543,0.748,4,2,0,1,Digital Wallet
C20004,62,Female,Zarqa,Silver,84,2577.75,191.53,39,438.68,72,22,0.432,0.688,3,2,0,1,Card
C20005,44,Male,Irbid,Basic,19,1429.96,90.99,5,335.5,28,18,0.098,0.518,4,2,0,0,Card
C20006,45,Male,Amman,Silver,33,1476.87,171.13,18,337.45,63,12,0.747,0.849,4,2,0,1,Digital Wallet
C20007,27,Male,Balqa,Platinum,49,1580.96,227.77,19,500.0,420,7,0.093,0.388,4,1,0,1,Digital Wallet
C20008,60,Male,Zarqa,Silver,19,2431.82,349.86,16,366.14,103,18,0.178,0.721,3,3,1,0,Card
C20009,62,Male,Amman,Platinum,49,3270.68,430.4,25,500.0,109,20,0.33,0.839,4,1,0,1,Digital Wallet
C20010,33,Male,Amman,Silver,15,1470.34,116.99,6,294.44,9,18,0.123,0.343,3,2,0,1,Card
C20011,59,Male,Amman,Platinum,6,2417.51,327.16,15,128.32,129,16,0.403,0.836,5,4,1,0,Card
C20012,49,Male,Other,Platinum,84,2803.16,472.49,33,500.0,44,17,0.031,0.707,5,0,0,0,Digital Wallet
C20013,63,Female,Amman,Platinum,17,2095.92,253.39,7,500.0,12,17,0.643,0.65,4,0,0,1,Bank Transfer
C20014,56,Female,Amman,Silver,24,1635.05,114.95,11,229.32,30,15,0.41,0.237,2,4,1,1,Card
C20015,63,Female,Balqa,Silver,36,2322.09,194.94,16,371.81,40,15,0.154,0.296,3,2,0,0,Bank Transfer
C20016,62,Female,Other,Silver,11,2269.31,161.78,7,268.95,19,23,0.196,0.495,3,2,0,0,Bank Transfer
C20017,43,Female,Irbid,Silver,53,1917.2,102.92,26,167.83,35,10,0.558,0.545,3,0,0,0,Card
C20018,38,Female,Other,Silver,12,2515.91,201.06,12,155.53,7,16,0.101,0.762,3,2,0,0,Card
C20019,52,Female,Amman,Basic,53,1778.45,132.02,22,336.61,18,12,0.823,0.585,5,1,0,1,Card
C20020,29,Female,Balqa,Gold,14,1822.15,144.67,7,297.31,17,19,0.576,0.253,3,2,0,1,Card
C20021,27,Male,Amman,Gold,5,1569.82,123.92,7,78.58,31,9,0.126,0.852,1,3,1,0,Cash
C20022,31,Female,Amman,Gold,9,1643.28,152.51,7,143.42,150,21,0.189,0.485,3,1,0,0,Digital Wallet
C20023,28,Male,Irbid,Gold,26,1847.46,222.68,16,351.35,56,24,0.411,0.756,2,5,1,1,Cash
C20024,29,Female,Irbid,Platinum,4,1022.48,270.72,6,148.0,8,9,0.214,0.31,3,5,1,0,Card
C20025,41,Female,Irbid,Gold,39,1936.09,203.02,26,253.33,5,14,0.556,0.643,3,3,1,1,Bank Transfer
C20026,58,Male,Amman,Silver,17,1420.29,272.84,12,341.05,47,17,0.367,0.68,5,1,0,1,Card
C20027,22,Female,Amman,Silver,17,1268.55,154.87,8,313.9,38,12,0.651,0.751,4,0,0,1,Cash
C20028,18,Male,Amman,Silver,24,350.0,65.33,10,136.13,87,18,0.264,0.734,3,2,0,0,Cash
C20029,68,Female,Amman,Silver,38,1420.09,321.04,18,500.0,26,16,0.361,0.763,3,1,0,0,Cash
C20030,50,Female,Other,Basic,8,1572.03,171.7,4,319.84,18,17,0.497,0.669,4,0,0,1,Digital Wallet
C20031,36,Male,Irbid,Basic,70,2131.85,124.59,28,272.42,40,11,0.802,0.128,2,2,0,1,Digital Wallet
C20032,59,Male,Amman,Gold,35,1813.94,1800.0,11,500.0,6,18,0.291,0.375,3,0,0,0,Card
C20033,59,Female,Irbid,Silver,20,2372.72,139.08,6,500.0,15,21,0.137,0.116,2,7,1,1,Digital Wallet
C20034,26,Female,Balqa,Gold,38,1314.54,227.24,14,500.0,92,10,0.4165,0.23,3,1,0,1,Card
C20035,69,Female,Balqa,Silver,28,2724.92,129.78,10,351.19,68,15,0.57,0.636,5,1,0,0,Card
C20036,62,Female,Other,Basic,8,1728.66,162.17,5,278.66,43,16,0.465,0.575,4,0,0,1,Card
C20037,27,Male,Balqa,Platinum,48,1079.9,261.53,24,500.0,58,13,0.413,0.612,4,2,0,1,Cash
C20038,25,Male,Balqa,Basic,23,1117.85,179.93,15,251.09,75,13,0.075,0.727,3,4,1,1,Cash
C20039,27,Male,Amman,Basic,21,1749.67,152.06,8,338.02,3,16,0.294,0.609,4,0,0,0,Digital Wallet
C20040,67,Female,Amman,Silver,12,1841.82,199.57,9,200.35,31,16,0.626,0.874,3,1,0,1,Card
C20041,44,Female,Amman,Basic,73,1021.93,88.77,23,305.14,55,11,0.649,0.544,2,2,1,1,Digital Wallet
C20042,46,Male,Amman,Gold,19,1465.73,205.62,13,281.01,127,19,0.25,0.68,4,3,1,1,Card
C20043,26,Male,Irbid,Platinum,54,1555.54,328.47,27,355.13,58,17,0.661,0.567,2,1,0,0,Cash
C20044,30,Male,Amman,Gold,43,1568.63,181.88,29,239.86,19,14,0.217,0.556,4,2,0,0,Card
C20045,44,Female,Amman,Basic,21,2194.44,164.59,12,259.59,36,12,0.718,0.663,4,0,0,1,Card
C20046,62,Male,Irbid,Basic,53,2314.24,350.51,26,500.0,45,18,0.779,0.697,4,2,0,1,Digital Wallet
C20047,65,Male,Irbid,Silver,53,2343.36,170.19,26,340.32,36,18,0.51,0.537,3,1,0,0,Digital Wallet
C20048,56,Male,Amman,Basic,60,1720.49,224.07,31,374.4,38,8,0.687,0.418,4,2,0,1,Digital Wallet
C20049,70,Male,Amman,Silver,39,2167.01,316.83,21,500.0,17,17,0.602,0.707,4,1,0,1,Card
C20050,60,Female,Other,Platinum,27,1792.625,256.07,12,500.0,37,17,0.475,0.728,3,2,0,0,Cash
C20051,30,Female,Irbid,Silver,40,1150.61,137.66,14,337.08,33,12,0.342,0.831,5,1,0,1,Digital Wallet
C20052,31,Male,Irbid,Basic,27,1790.39,85.39,11,178.55,60,17,0.106,0.51,3,31,1,1,Digital Wallet
C20053,40,Female,Balqa,Gold,13,2349.96,199.85,13,196.39,136,21,0.336,0.508,4,2,0,0,Card
C20054,40,Male,Balqa,Basic,32,1449.8,163.62,16,281.3,100,14,0.225,0.345,4,4,1,0,Card
C20055,38,Female,Amman,Basic,5,1095.68,189.65,9,103.89,240,13,0.615,0.259,4,1,0,1,Card
C20056,58,Female,Amman,Platinum,24,2191.21,241.19,17,273.44,1,17,0.212,0.712,4,1,0,1,Card
C20057,60,Female,Amman,Silver,55,2054.76,256.08,21,500.0,68,18,0.456,0.177,3,3,1,0,Digital Wallet
C20058,28,Female,Amman,Silver,6,931.56,152.79,5,136.09,64,17,0.191,0.508,3,0,0,1,Cash
C20059,57,Female,Amman,Basic,14,1792.625,212.66,10,287.37,18,23,0.398,0.368,4,0,0,0,Bank Transfer
C20060,52,Male,Amman,Silver,37,1750.58,146.05,22,223.81,38,14,0.429,0.529,4,0,0,1,Card
C20061,54,Male,Balqa,Platinum,38,2375.9,320.95,21,500.0,17,17,0.269,0.386,3,3,1,0,Digital Wallet
C20062,54,Male,Balqa,Platinum,31,2385.8,328.5,18,500.0,96,14,0.461,0.113,3,2,0,0,Digital Wallet
C20063,46,Male,Amman,Basic,49,1434.91,127.23,30,226.94,240,15,0.847,0.289,4,3,1,1,Card
C20064,50,Female,Irbid,Platinum,38,2039.47,374.13,26,500.0,17,12,0.347,0.398,4,1,0,0,Card
C20065,34,Male,Other,Basic,73,1527.68,88.32,30,194.49,7,8,0.683,0.294,3,3,1,1,Card
C20066,48,Female,Amman,Silver,51,888.72,185.81,29,325.22,4,16,0.256,0.265,3,3,1,0,Card
C20067,48,Male,Amman,Basic,16,1975.41,159.95,9,250.3,9,19,0.546,0.217,3,4,1,0,Digital Wallet
C20068,70,Female,Balqa,Gold,32,3433.17,227.23,12,454.52,46,7,0.446,0.772,4,0,0,1,Bank Transfer
C20069,51,Female,Irbid,Gold,35,1708.74,280.38,11,500.0,29,15,0.576,0.387,5,0,0,1,Bank Transfer
C20070,45,Female,Zarqa,Gold,11,1197.75,168.97,8,174.7,162,21,0.378,0.397,5,0,0,0,Card
C20071,68,Female,Zarqa,Silver,40,2081.42,194.63,16,500.0,101,14,0.514,0.551,2,4,1,1,Bank Transfer
C20072,18,Male,Amman,Basic,12,1254.58,440.06,17,294.92,18,19,0.168,0.546,3,4,1,1,Digital Wallet
C20073,61,Male,Zarqa,Silver,7,2046.94,374.48,11,247.12,14,20,0.524,0.438,3,3,1,0,Card
C20074,51,Female,Balqa,Gold,26,1987.79,212.62,6,500.0,52,15,0.462,0.718,4,2,0,1,Cash
C20075,22,Female,Amman,Basic,6,1898.87,136.25,9,100.16,9,12,0.438,0.246,4,3,1,0,Digital Wallet
C20076,23,Female,Amman,Gold,7,1346.36,191.63,8,184.9,13,14,0.212,0.467,5,1,0,1,Cash
C20077,58,Female,Amman,Silver,19,1388.34,219.26,14,268.35,30,14,0.297,0.774,3,0,0,0,Card
C20078,25,Female,Other,Silver,23,1925.88,198.8,12,371.3,14,19,0.239,0.33,4,2,0,0,Card
C20079,42,Female,Amman,Basic,32,1766.76,171.57,21,310.96,36,17,0.25,0.495,4,1,0,1,Card
