Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method,Churn
C00370,60,Male,Balqa,Basic,13,1810.15,270.1,12,306.12,10,24,0.393,0.525,5,2,0,0,Digital Wallet,0
C01187,67,Male,Amman,Basic,11,2175.33,87.14,8,109.86,9,18,0.461,0.464,4,1,0,0,Digital Wallet,0
C00806,50,Female,Amman,Silver,48,2087.84,201.9,23,365.24,11,12,0.053,0.083,4,0,0,0,Card,0
C00953,42,Female,Zarqa,Platinum,41,2079.61,233.06,19,490.29,75,13,0.414,0.133,3,1,0,1,Cash,0
C00236,27,Female,Irbid,Platinum,5,1912.7,300.74,7,182.06,67,15,0.297,0.795,5,1,0,0,Cash,0
C00695,19,Female,Other,Silver,84,554.17,106.91,37,248.43,38,10,0.339,0.631,3,1,0,1,Digital Wallet,0
C01167,47,Female,Amman,Gold,22,2070.12,174.0,10,331.26,53,11,0.391,0.662,4,1,0,0,Digital Wallet,0
C00591,54,Female,Amman,Silver,60,2452.97,182.92,28,444.29,37,17,0.074,0.761,4,1,0,0,Bank Transfer,0
C00085,50,Female,Amman,Gold,55,1844.46,155.66,15,424.37,14,15,0.498,0.408,4,2,0,1,Digital Wallet,0
C01025,35,Male,Amman,Silver,19,1878.37,295.11,16,340.89,60,22,0.337,0.751,3,0,0,1,Card,0
C00394,32,Female,Zarqa,Silver,36,1762.57,103.27,12,369.85,12,9,0.511,0.35,4,4,1,0,Card,0
C00290,43,Male,Amman,Platinum,28,2509.61,305.83,17,493.2,3,17,0.275,0.357,5,1,0,0,Bank Transfer,0
C00651,69,Male,Irbid,Gold,51,2082.67,209.05,19,500.0,26,19,0.155,0.351,3,1,0,0,Cash,0
C01098,50,Female,Amman,Silver,15,1356.12,207.86,13,207.94,101,21,0.669,0.779,3,2,0,0,Bank Transfer,1
C00993,24,Male,Zarqa,Silver,8,1682.5,94.95,1,500.0,30,17,0.566,0.325,4,0,0,0,Card,0
C00126,43,Female,Amman,Silver,15,943.45,200.98,10,245.45,69,11,0.038,0.719,3,3,1,1,Card,0
