Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method,Churn_Probability,Predicted_Churn,Annual_Spending_JD,Annual_Profit_JD,Expected_Saved_Profit_JD,Expected_Net_Benefit_JD,Selected_for_Retention
C20001,24,Female,Irbid,Platinum,84,2074.52,264.83,37,500.0,4,21,0.183,0.914,4,0,0,0,Card,0.09966707081924608,0,3177.96,794.49,27.714571883313983,7.714571883313983,No
C20002,44,Male,Amman,Gold,12,2647.38,222.34,8,356.05,70,21,0.371,0.576,4,0,0,0,Bank Transfer,0.4785242849677299,0,2668.08,667.02,111.71484399571132,91.71484399571132,No
C20003,39,Female,Zarqa,Gold,12,1296.71,215.81,11,264.25,9,23,0.543,0.748,4,2,0,1,Digital Wallet,0.21620945413799078,0,2589.7200000000003,647.4300000000001,48.993170412395784,28.993170412395784,No
C20004,62,Female,Zarqa,Silver,84,2577.75,191.53,39,438.68,72,22,0.432,0.688,3,2,0,1,Card,0.22684903517861832,0,2298.36,574.59,45.620815493148804,25.620815493148804,No
C20005,44,Male,Irbid,Basic,19,1429.96,90.99,5,335.5,28,18,0.098,0.518,4,2,0,0,Card,0.6027287764762659,1,1091.8799999999999,272.96999999999997,57.58440594015419,37.58440594015419,No
C20006,45,Male,Amman,Silver,33,1476.87,171.13,18,337.45,63,12,0.747,0.849,4,2,0,1,Digital Wallet,0.3053839691117673,0,2053.56,513.39,54.87337656580157,34.87337656580157,No
C20007,27,Male,Balqa,Platinum,49,1580.96,227.77,19,500.0,420,7,0.093,0.388,4,1,0,1,Digital Wallet,0.9880567979669167,1,2733.2400000000002,683.3100000000001,236.30218171657086,216.30218171657086,Yes
C20008,60,Male,Zarqa,Silver,19,2431.82,349.86,16,366.14,103,18,0.178,0.721,3,3,1,0,Card,0.7945628457289731,1,4198.32,1049.58,291.8850450670754,271.8850450670754,Yes
C20009,62,Male,Amman,Platinum,49,3270.68,430.4,25,500.0,109,20,0.33,0.839,4,1,0,1,Digital Wallet,0.25345888327322597,0,5164.799999999999,1291.1999999999998,114.54313852883627,94.54313852883627,No
C20010,33,Male,Amman,Silver,15,1470.34,116.99,6,294.44,9,18,0.123,0.343,3,2,0,1,Card,0.3822319884476253,0,1403.8799999999999,350.96999999999997,46.95318634491206,26.953186344912062,No
C20011,59,Male,Amman,Platinum,6,2417.51,327.16,15,128.32,129,16,0.403,0.836,5,4,1,0,Card,0.8038202236829318,1,3925.92,981.48,276.12671559911337,256.12671559911337,Yes
C20012,49,Male,Other,Platinum,84,2803.16,472.49,33,500.0,44,17,0.031,0.707,5,0,0,0,Digital Wallet,0.07387103689754512,0,5669.88,1417.47,36.64849253490715,16.64849253490715,No
C20013,63,Female,Amman,Platinum,17,2095.92,253.39,7,500.0,12,17,0.643,0.65,4,0,0,1,Bank Transfer,0.07308896115993262,0,3040.68,760.17,19.44601246173109,-0.5539875382689097,No
C20014,56,Female,Amman,Silver,24,1635.05,114.95,11,229.32,30,15,0.41,0.237,2,4,1,1,Card,0.6367206093407081,1,1379.4,344.85,76.85058574590012,56.85058574590012,No
C20015,63,Female,Balqa,Silver,36,2322.09,194.94,16,371.81,40,15,0.154,0.296,3,2,0,0,Bank Transfer,0.4184316494682573,0,2339.2799999999997,584.8199999999999,85.64751903470916,65.64751903470916,No
C20016,62,Female,Other,Silver,11,2269.31,161.78,7,268.95,19,23,0.196,0.495,3,2,0,0,Bank Transfer,0.4447343635612327,0,1941.3600000000001,485.34000000000003,75.54658160378304,55.54658160378304,No
C20017,43,Female,Irbid,Silver,53,1917.2,102.92,26,167.83,35,10,0.558,0.545,3,0,0,0,Card,0.2931970114145188,0,1235.04,308.76,31.68462823552139,11.68462823552139,No
C20018,38,Female,Other,Silver,12,2515.91,201.06,12,155.53,7,16,0.101,0.762,3,2,0,0,Card,0.40254363187250536,0,2412.7200000000003,603.1800000000001,84.98219375550022,64.98219375550022,No
C20019,52,Female,Amman,Basic,53,1778.45,132.02,22,336.61,18,12,0.823,0.585,5,1,0,1,Card,0.09539880325618746,0,1584.2400000000002,396.06000000000006,13.224277506175962,-6.775722493824038,No
C20020,29,Female,Balqa,Gold,14,1822.15,144.67,7,297.31,17,19,0.576,0.253,3,2,0,1,Card,0.24550730512896785,0,1736.04,434.01,37.29341892465816,17.293418924658162,No
C20021,27,Male,Amman,Gold,5,1569.82,123.92,7,78.58,31,9,0.126,0.852,1,3,1,0,Cash,0.8907193131617862,1,1487.04,371.76,115.89683415135896,95.89683415135896,Yes
C20022,31,Female,Amman,Gold,9,1643.28,152.51,7,143.42,150,21,0.189,0.485,3,1,0,0,Digital Wallet,0.9135104636122003,1,1830.12,457.53,146.28545484577148,126.28545484577148,Yes
C20023,28,Male,Irbid,Gold,26,1847.46,222.68,16,351.35,56,24,0.411,0.756,2,5,1,1,Cash,0.8364841150744774,1,2672.16,668.04,195.58169688202383,175.58169688202383,Yes
C20024,29,Female,Irbid,Platinum,4,1022.48,270.72,6,148.0,8,9,0.214,0.31,3,5,1,0,Card,0.7120573941896219,1,3248.6400000000003,812.1600000000001,202.40658664276515,182.40658664276515,Yes
C20025,41,Female,Irbid,Gold,39,1936.09,203.02,26,253.33,5,14,0.556,0.643,3,3,1,1,Bank Transfer,0.4034218579629731,0,2436.2400000000002,609.0600000000001,85.99784088382494,65.99784088382494,No
C20026,58,Male,Amman,Silver,17,1420.29,272.84,12,341.05,47,17,0.367,0.68,5,1,0,1,Card,0.22882244501400084,0,3274.08,818.52,65.55351169250099,45.55351169250099,No
C20027,22,Female,Amman,Silver,17,1268.55,154.87,8,313.9,38,12,0.651,0.751,4,0,0,1,Cash,0.23279156042872498,0,1858.44,464.61,37.855050411776475,17.855050411776475,No
C20028,18,Male,Amman,Silver,24,350.0,65.33,10,136.13,87,18,0.264,0.734,3,2,0,0,Cash,0.8237277229483967,1,783.96,195.99,56.5048387472297,36.5048387472297,No
C20029,68,Female,Amman,Silver,38,1420.09,321.04,18,500.0,26,16,0.361,0.763,3,1,0,0,Cash,0.3561409756246575,0,3852.4800000000005,963.1200000000001,120.05227375526705,100.05227375526705,No
C20030,50,Female,Other,Basic,8,1572.03,171.7,4,319.84,18,17,0.497,0.669,4,0,0,1,Digital Wallet,0.18471238467141554,0,2060.3999999999996,515.0999999999999,33.300872270486146,13.300872270486146,No
C20031,36,Male,Irbid,Basic,70,2131.85,124.59,28,272.42,40,11,0.802,0.128,2,2,0,1,Digital Wallet,0.32178210066885277,0,1495.08,373.77,42.09537351844898,22.09537351844898,No
C20032,59,Male,Amman,Gold,35,1813.94,1800.0,11,500.0,6,18,0.291,0.375,3,0,0,0,Card,0.026597437151158115,0,21600.0,5400.0,50.26915621568884,30.269156215688838,No
C20033,59,Female,Irbid,Silver,20,2372.72,139.08,6,500.0,15,21,0.137,0.116,2,7,1,1,Digital Wallet,0.816619082941202,1,1668.96,417.24,119.2541511582355,99.2541511582355,Yes
C20034,26,Female,Balqa,Gold,38,1314.54,227.24,14,500.0,92,10,0.4165,0.23,3,1,0,1,Card,0.4079800025931465,0,2726.88,681.72,97.34484457872992,77.34484457872992,No
C20035,69,Female,Balqa,Silver,28,2724.92,129.78,10,351.19,68,15,0.57,0.636,5,1,0,0,Card,0.22621402494865905,0,1557.3600000000001,389.34000000000003,30.82595896572882,10.82595896572882,No
C20036,62,Female,Other,Basic,8,1728.66,162.17,5,278.66,43,16,0.465,0.575,4,0,0,1,Card,0.2358563407530346,0,1946.04,486.51,40.1612639189156,20.1612639189156,No
C20037,27,Male,Balqa,Platinum,48,1079.9,261.53,24,500.0,58,13,0.413,0.612,4,2,0,1,Cash,0.2181245754566547,0,3138.3599999999997,784.5899999999999,59.89842623013784,39.89842623013784,No
